"";"Austria";"Belgium";"Bulgaria";"Cyprus";"Czech Republic";"Germany";"Denmark";"Estonia";"Spain";"Finland";"France";"Greece";"Croatia";"Hungary";"Ireland";"Italy";"Lithuania";"Luxembourg";"Latvia";"Malta";"Netherlands";"Poland";"Portugal";"Romania";"Sweden";"Slovenia";"Slovakia";"United Kingdom";"United States";"Japan";"China";"Canada";"South Korea";"Brazil";"India";"Mexico";"Russia";"Australia";"Switzerland";"Turkey";"Taiwan";"Norway";"Indonesia";"South Africa";"RoW Asia and Pacific";"RoW America";"RoW Europe";"RoW Africa";"RoW Middle East"
"Armenia";174,033848763785;865,451548887007;25,5895048420222;7,99948765225067;116,394879695188;2093,54857198412;104,33069361645;20,1905677745271;538,313430660689;89,0638345085639;1215,53940512895;62,885501690486;13,2716723094676;56,9502339695386;70,5236550419472;650,439712795654;17,9678287361302;133,813738869025;12,8432474138126;4,63442329530841;614,791187166462;242,084137778238;53,640719683292;40,7250247900852;192,605619025416;19,6389682111955;63,0811523358523;1363,52712211761;5650,73625841037;2582,65599733247;6020,54751069651;614,294480080601;1115,00542034565;517,278805165735;1261,43161246431;300,588655746824;793,985352562393;1552,33556314855;289,87550215679;598,930153817078;500,187028442087;249,159367574569;1440,52534223381;191,108093804942;30474,2933635234;1625,82678901059;197,960404288253;855,280437912995;2417,34070405231
"Afghanistan";142,894117226199;344,226462991524;17,4631187829382;3,49324793635329;78,1408795949224;1820,87923850887;100,232011750428;13,6124108149354;531,782518712872;94,9863088291364;987,386271755574;69,5540591206168;14,6779155079031;32,6712439854866;69,8471499964476;674,707608581876;23,4798527738225;39,7756000603318;15,7252428905005;2,92354273040161;247,016370737691;333,617021599652;76,8063872815458;37,925576511647;222,746850287326;15,1083176949564;60,6251841605846;1565,73458328121;6621,33826505782;1919,41719499994;4955,38293181607;725,406244815093;860,220223157381;360,69317346683;939,669293371432;244,917887806131;773,176121090507;810,763856025354;191,423217223059;942,371547227163;310,397767088557;192,614045451318;552,714595290594;59,0298686576706;16366,4106136116;1354,76674712408;155,655393182645;741,49472211188;1895,43871792664
"Albania";216,464744773157;114,155615329895;116,925188324623;11,1298090381135;85,0307664579929;1169,00204518554;52,2868026409942;16,0549660717367;204,311500394692;45,6692948928169;626,243262151197;244,405064304683;106,010659495687;87,9546117824599;17,7467863491639;3013,09815512827;70,9795374821457;12,6752872456213;33,6442719795198;5,51877312085387;163,496775476228;294,330046322731;40,8565631781144;248,92683865938;73,9651799810665;79,4370265901573;66,2899719161928;373,681392517795;753,2708006763;249,557440896773;912,299736629508;95,7746047233089;489,564289222196;66,1508745025726;202,756718134693;53,5232446079168;2532,34621341055;154,687577697483;168,346917406439;284,502345772115;83,6534273015809;70,2786898563046;78,1375899423859;18,6510407057147;1406,55927239436;207,226322609057;26620,1511251484;287,407509867106;634,084250703514
"Algeria";481,819075112254;1548,02041990283;100,406202233971;25,3506647212962;286,993516498136;7480,0842524804;178,028039916024;43,2084678779876;5792,36670678222;205,135467463525;14481,9579333387;195,86769334423;51,6953807961372;136,28255833423;971,468134782625;11157,9359370015;39,3760459709087;223,204586950515;20,0908923486357;86,6313968642213;1803,56839971772;1589,39729887603;602,323001925667;481,387096106064;322,847103378981;82,9766185456975;135,763327791064;3127,84816922734;8991,10408023823;1834,72254770918;9452,52237770936;1071,05105463394;1081,72219563747;1497,65178622449;3198,62169829945;419,416046920452;2047,75727729146;740,952428107296;1797,57818479732;1740,6899596062;864,326788399668;492,993579886709;664,395576744962;1258,51879180393;3878,879146091;1639,07110629911;1190,19149099651;220330,270250837;8699,91438272655
"Angola";56,8057144356237;246,807233181103;14,0378241024432;2,89847086753507;31,5730112078168;848,438039931743;26,4650247081572;4,42299498459913;795,416131202939;24,0201327418304;2051,9928751962;26,588515564893;6,09311541565318;17,6933569541582;31,0333677845957;1054,21743391607;5,64870383341472;35,3570850751837;2,57532039415366;29,7341184284983;525,970471231501;174,441313029393;69,460236969274;39,8779443890164;42,1627410036715;15,1212676926878;15,6796340539569;439,464507513794;1065,47608500604;252,18365385056;966,58796025931;146,437081785658;151,931642728016;252,161899508852;776,018371492776;55,050003750367;238,975182829383;85,0827576481706;181,248252667341;230,947069314078;82,1074864004334;48,8644229544611;94,0981169735386;223,199981865075;617,814450661201;226,384019114138;99,6494483475673;23061,6556581921;1053,76182526247
"Antigua and Barbuda";0,280841270998812;0,94770672250221;0,070523910964662;0,0414342463095555;0,110580479114949;2,96056618396737;0,14536060523107;0,0177819751994999;1,50160231272917;0,166875026669491;1,25922072076857;0,0872637036346929;0,0295459557185005;0,0451787682326355;0,170210570575023;1,83031066897496;0,0324670723696484;0,120326135669529;0,0216337825713477;0,00599434580772564;0,986980606917947;0,356666380981699;0,151084922706612;0,0900616671189409;0,232247983085396;0,0417570367639472;0,0400618634601259;1,72581069568194;63,609514316474;1,65076261402373;4,38538798152122;2,69625550095934;0,686804021369093;11,0829502725294;0,886465917545111;4,02143741119684;2,07584422637494;0,727311375158596;0,590686962707312;0,927267726506482;0,320352939653116;0,429483382767405;0,301723130419378;0,186494985600325;3,05042849121668;132,37452373538;0,231247021752901;0,804445462865892;1,52976263738832
"Argentina";9854,39657628154;51948,3353845398;1922,17753729976;2185,88002221354;7761,70935590898;120827,590232346;10180,2852464029;1348,67586285781;53941,2279266012;5234,85536574537;80382,8405755804;9369,21360506078;2919,85522178629;4056,46668142917;5205,95984196016;65213,8845123409;2365,88349934416;6949,7425198994;1076,34603245475;601,308043340642;72141,8978128233;18335,7019970012;14253,5457214142;3949,18753102248;9086,42806513298;3468,48362333575;2448,9026083491;65651,9785363162;624889,794310634;147276,181783697;860420,830509;41468,0401826064;56741,5146217798;116603,770768276;149326,252929704;53801,8120586257;41321,3981010261;54105,8225088605;16619,8842678588;35448,3088815924;24940,3913381675;11803,8860568814;67646,1709848508;16383,7041879947;260884,285095311;2025018,91463105;18068,1012454452;120438,9279019;202544,514620399
"Australia";37960,2324738175;53527,356118819;7242,35780224545;2134,27356240005;36563,7286265697;252613,957041385;14615,1364454482;2226,23392291267;77782,1685094051;21131,6817802887;228373,5200248;11472,3928216089;4947,38675782182;8299,90270307781;9775,29845171252;154083,485853961;17593,6177859799;3579,45964156302;4453,64034443277;1083,36766708311;92150,9073581078;57863,0233284202;19542,8997206133;14891,4466874015;45301,8016271574;2912,48057480329;16749,6544590765;135489,171126764;501385,283570962;207758,846162264;1444112,70938336;52565,4452877439;115000,124834035;41648,4647336811;205490,35298421;44364,1259220287;108177,315457304;935240,118562421;26393,7852995293;57700,3350657531;33843,5875652875;35335,3618004309;81349,3140759916;20802,1122163252;592364,473433886;153187,519601603;51326,4620630572;125639,061669234;281120,217643645
"Austria";14525,9687887206;1150,90335887982;730,892354643407;91,5336722449544;1680,97287451983;22949,1832754981;782,942715246893;95,175391117493;1925,68325716543;475,562961775152;5776,62773946215;827,286102374995;3813,38215136862;1906,7128019443;304,860106225401;9432,58131895179;413,200074920501;95,9169047429967;164,37978741044;40,0117127244514;1921,07296924611;3541,64754089812;453,748459168181;5763,77456138299;1205,38770414004;791,543752571935;1029,19112197913;4455,01535900858;8131,45880125242;1938,88365794929;8733,12677884854;839,506976400044;1120,1666219696;1008,04227929598;1438,12918856223;873,256868013476;3721,66876733101;3402,80322651747;2461,00175749868;1832,42819625363;862,196989709191;956,717960539927;498,725465796227;219,85442381854;5779,3376803291;2869,92636477983;2402,01506087613;2967,83116463821;5343,66665790317
"Bahamas";2,40441869577387;5,17732304351185;0,22595227491924;0,306494318563799;0,827569378829137;16,6076656193349;0,77890306019219;0,164913663165775;8,67356313731992;0,802251173456788;9,52271314175006;0,746038263011191;0,767135905603556;0,387711127390114;0,829430131613171;10,489954321001;0,149269743502095;0,742497624862318;0,0968278088564721;0,0573542254771856;9,13473514503584;2,02555579034895;0,989740455206484;0,400931166768772;1,3407749131515;1,06058414547916;0,366017497390063;8,50945192483265;226,061890944702;12,1355626968498;50,3684351907027;9,05841037277895;6,51701226795723;66,7677262204629;6,45986914552715;17,730970525073;8,21135148535957;5,18785745514074;3,89813074133036;3,51576397461903;5,30773133044388;1,45368999024232;5,17537546327665;1,56029486372615;57,6131237059269;1435,57620571724;1,93649455745456;8,45127596487181;8,7036757562337
